Campaign	Station - Device Operation	Device Types	Device Types Code	Device	Device Code	Date/Time (Start)	Action (Start)	 (Start)	 (Start)	Depth (m) (Start)	Comment (Start)	Date/Time (End)	Action (End)	 (End)	 (End)	Depth (m) (End)	Comment (End)	Date/Time station start	 station start	 station start	Depth (m) station start	Comment station start	Date/Time profile start	 profile start	 profile start	Depth (m) profile start	Comment profile start	Date/Time max depth/on ground	 max depth/on ground	 max depth/on ground	Depth (m) max depth/on ground	Comment max depth/on ground	Date/Time station end	 station end	 station end	Depth (m) station end	Comment station end	Date/Time profile end	 profile end	 profile end	Depth (m) profile end	Comment profile end	Comment (Station)	Comment (Device Operation)
M161	M161_0_Underway-2	Light Detection And Ranging	LIDAR	LiDAR	LIDAR	2020/01/18 11:30:00	profile start			769		2020/01/18 11:30:00	profile start			769							2020/01/18 11:30:00			769																		
M161	M161_1-1	Altimeter,Positioning System,Fluorometer,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Water Sampler,Methane Sensor	ALTI,POS,FLU,CTD,O2,WS,METHAN	CTD	CTD	2020/01/18 20:38:48	in the water			3318	W2, clean ship	2020/01/18 20:53:47	on deck			3320												2020/01/18 20:40:31			3318	SLmax = 10m												
M161	M161_2-1	Methane Sensor,Positioning System,Oxygen Sensor,Altimeter,Conductivity-Temperature-Depth Sensors,Water Sampler,Fluorometer	METHAN,POS,O2,ALTI,CTD,WS,FLU	CTD	CTD	2020/01/19 07:47:00	in the water			4842	W2, clean ship	2020/01/19 08:36:06	on deck			4842												2020/01/19 08:03:36			4842	SLmax = 500m												
M161	M161_3-1	Positioning System,Water Sampler,Methane Sensor,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Altimeter,Fluorometer	POS,WS,METHAN,O2,CTD,ALTI,FLU	CTD	CTD	2020/01/19 11:30:47	in the water			4843	W2, clean ship	2020/01/19 11:57:56	on deck			4845												2020/01/19 11:40:40			4846	SLmax = 200m												
M161	M161_4-1	Altimeter,Oxygen Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Water Sampler,Methane Sensor,Fluorometer	ALTI,O2,POS,CTD,WS,METHAN,FLU	CTD	CTD	2020/01/20 14:36:18	in the water			4969	W2	2020/01/20 15:10:53	on deck			4974												2020/01/20 14:53:55			4974	SLmax = 500m												
M161	M161_5-1	Altimeter,Oxygen Sensor,Positioning System,Water Sampler,Conductivity-Temperature-Depth Sensors,Fluorometer,Methane Sensor	ALTI,O2,POS,WS,CTD,FLU,METHAN	CTD	CTD	2020/01/20 17:59:31	in the water			5471		2020/01/20 18:35:27	on deck			5472												2020/01/20 18:17:14			5472	SLmax = 800m												
M161	M161_6-1	Methane Sensor,Water Sampler,Positioning System,Oxygen Sensor,Altimeter,Conductivity-Temperature-Depth Sensors,Fluorometer	METHAN,WS,POS,O2,ALTI,CTD,FLU	CTD	CTD	2020/01/20 20:33:35	in the water			5164	W2	2020/01/20 21:10:10	on deck			5146												2020/01/20 20:52:37			5152	SLmax = 800m												
M161	M161_7-1	Water Sampler,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Altimeter,Methane Sensor,Positioning System,Fluorometer	WS,CTD,O2,ALTI,METHAN,POS,FLU	CTD	CTD	2020/01/20 23:46:31	in the water			4838	W2	2020/01/21 00:22:36	on deck			4852												2020/01/21 00:05:22			4838	SLmax = 800m												
M161	M161_8-1	Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Positioning System,Water Sampler,Altimeter,Fluorometer,Methane Sensor	CTD,O2,POS,WS,ALTI,FLU,METHAN	CTD	CTD	2020/01/21 02:47:22	in the water			4929	W2	2020/01/21 03:23:56	on deck			4931												2020/01/21 03:05:41			4929	SLmax = 800m												
M161	M161_9-1	Oxygen Sensor,Methane Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler,Positioning System,Altimeter,Fluorometer	O2,METHAN,CTD,WS,POS,ALTI,FLU	CTD	CTD	2020/01/21 05:47:45	in the water			4926	W2, clean ship	2020/01/21 06:45:10	on deck			4902												2020/01/21 06:08:17			4915	SLmax = 800m												
M161	M161_10-1	Positioning System,Conductivity-Temperature-Depth Sensors,Water Sampler,Fluorometer,Methane Sensor,Altimeter,Oxygen Sensor	POS,CTD,WS,FLU,METHAN,ALTI,O2	CTD	CTD	2020/01/21 08:34:53	in the water			4883	W2, clean ship	2020/01/21 09:01:21	on deck			4883												2020/01/21 08:43:57			4885	SLmax = 200m												
