Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_0_Underway-2	2020/01/18 11:30:00	LiDAR	LIDAR	profile start				started	13° 10.869' N	059° 23.205' W	769	2	55.8	62.0	8.1	03	0
M161_1-1	2020/01/18 20:38:48	CTD	CTD	in the water			W2, clean ship	started	13° 40.247' N	058° 18.482' W	3318	1	178.0	58.0	7.8	02	0
M161_1-1	2020/01/18 20:40:31	CTD	CTD	max depth/on ground			SLmax = 10m	started	13° 40.248' N	058° 18.482' W	3318	1	205.5	65.0	8.1	02	10
M161_1-1	2020/01/18 20:53:47	CTD	CTD	on deck				started	13° 40.248' N	058° 18.482' W	3320	0	229.1	53.0	9.2	02	0
M161_2-1	2020/01/19 07:47:00	CTD	CTD	in the water			W2, clean ship	started	13° 47.100' N	057° 15.136' W	4842	0	53.0	47.0	12.5	02	0
M161_2-1	2020/01/19 08:03:36	CTD	CTD	max depth/on ground			SLmax = 500m	started	13° 47.103' N	057° 15.136' W	4842	1	76.8	48.0	11.8	02	500
M161_2-1	2020/01/19 08:36:06	CTD	CTD	on deck				started	13° 47.104' N	057° 15.137' W	4842	0	198.3	56.0	11.7	02	0
M161_3-1	2020/01/19 11:30:47	CTD	CTD	in the water			W2, clean ship	started	13° 47.105' N	057° 15.136' W	4843	1	9.2	56.0	11.0	02	0
M161_3-1	2020/01/19 11:40:40	CTD	CTD	max depth/on ground			SLmax = 200m	started	13° 47.104' N	057° 15.136' W	4846	0	344.4	61.0	12.0	02	200
M161_3-1	2020/01/19 11:57:56	CTD	CTD	on deck				started	13° 47.103' N	057° 15.136' W	4845	0	297.2	50.0	12.5	02	0
M161_4-1	2020/01/20 14:36:18	CTD	CTD	in the water			W2	started	14° 03.170' N	057° 14.897' W	4969	2	266.5	87.0	10.2	02	0
M161_4-1	2020/01/20 14:53:55	CTD	CTD	max depth/on ground			SLmax = 500m	started	14° 03.167' N	057° 15.286' W	4974	4	273.4	86.0	10.2	02	500
M161_4-1	2020/01/20 15:10:53	CTD	CTD	on deck				started	14° 03.164' N	057° 15.612' W	4974	1	111.3	90.0	10.1	02	0
M161_5-1	2020/01/20 17:59:31	CTD	CTD	in the water				started	14° 27.036' N	057° 14.772' W	5471	2	153.3	98.0	7.8	02	10
M161_5-1	2020/01/20 18:17:14	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 27.034' N	057° 14.881' W	5472	2	100.4	73.0	10.7	02	800
M161_5-1	2020/01/20 18:35:27	CTD	CTD	on deck				started	14° 27.034' N	057° 14.998' W	5472	2	158.0	71.0	7.5	02	0
