date time	SEAPATH.PSXN.Heading	SEAPATH.PSXN.Heave	SEAPATH.PSXN.Pitch	SEAPATH.PSXN.Roll
	spot	spot	spot	spot
	°	m	°	°
2020/01/26 00:00:00	263.140	-0.110	-0.190	0.510
2020/01/26 00:00:01	263.100	-0.250	-0.060	0.530
2020/01/26 00:00:02	262.930	-0.330	0.040	0.590
2020/01/26 00:00:03	262.790	-0.350	0.060	0.660
2020/01/26 00:00:04	262.730	-0.240	-0.010	0.600
2020/01/26 00:00:05	262.730	-0.020	-0.120	0.380
2020/01/26 00:00:06	262.810	0.200	-0.250	0.060
2020/01/26 00:00:07	262.910	0.310	-0.390	-0.170
2020/01/26 00:00:08	262.980	0.300	-0.450	-0.180
2020/01/26 00:00:09	263.020	0.210	-0.380	0.030
2020/01/26 00:00:10	263.050	0.050	-0.190	0.370
2020/01/26 00:00:11	263.080	-0.110	0.020	0.710
2020/01/26 00:00:12	263.030	-0.210	0.070	1.000
2020/01/26 00:00:13	262.910	-0.220	-0.070	1.140
2020/01/26 00:00:14	262.820	-0.180	-0.170	1.040
2020/01/26 00:00:15	262.790	-0.130	-0.220	0.680
2020/01/26 00:00:16	262.790	-0.050	-0.290	0.200
2020/01/26 00:00:17	262.890	0.080	-0.340	-0.260
2020/01/26 00:00:18	263.050	0.220	-0.300	-0.550
2020/01/26 00:00:19	263.220	0.300	-0.190	-0.530
2020/01/26 00:00:20	263.270	0.240	-0.080	-0.160
2020/01/26 00:00:21	263.140	0.080	0.020	0.450
2020/01/26 00:00:22	262.920	-0.100	0.050	1.000
2020/01/26 00:00:23	262.790	-0.230	0.010	1.240
2020/01/26 00:00:24	262.820	-0.260	-0.180	1.120
2020/01/26 00:00:25	262.930	-0.130	-0.460	0.810
2020/01/26 00:00:26	263.020	0.100	-0.660	0.460
2020/01/26 00:00:27	263.100	0.250	-0.540	0.140
2020/01/26 00:00:28	263.160	0.200	-0.100	-0.090
2020/01/26 00:00:29	263.110	0.010	0.280	-0.150
2020/01/26 00:00:30	262.960	-0.130	0.270	-0.040
2020/01/26 00:00:31	262.850	-0.150	-0.050	0.230
2020/01/26 00:00:32	262.840	-0.110	-0.380	0.540
2020/01/26 00:00:33	262.900	-0.080	-0.520	0.750
2020/01/26 00:00:34	263.000	-0.040	-0.500	0.770
2020/01/26 00:00:35	263.130	0.040	-0.320	0.630
2020/01/26 00:00:36	263.210	0.090	-0.090	0.510
2020/01/26 00:00:37	263.170	0.090	0.080	0.530
2020/01/26 00:00:38	262.990	0.020	0.160	0.600
2020/01/26 00:00:39	262.790	-0.070	0.190	0.560
2020/01/26 00:00:40	262.650	-0.090	0.050	0.440
2020/01/26 00:00:41	262.590	0.010	-0.290	0.320
2020/01/26 00:00:42	262.650	0.200	-0.620	0.250
2020/01/26 00:00:43	262.790	0.340	-0.680	0.230
2020/01/26 00:00:44	262.950	0.290	-0.460	0.320
2020/01/26 00:00:45	263.050	0.060	-0.150	0.480
2020/01/26 00:00:46	263.080	-0.210	0.040	0.640
2020/01/26 00:00:47	263.020	-0.370	0.020	0.690
2020/01/26 00:00:48	262.900	-0.350	-0.100	0.550
2020/01/26 00:00:49	262.810	-0.240	-0.170	0.270
2020/01/26 00:00:50	262.760	-0.130	-0.180	-0.020
2020/01/26 00:00:51	262.750	-0.030	-0.180	-0.110
2020/01/26 00:00:52	262.760	0.050	-0.170	0.070
2020/01/26 00:00:53	262.780	0.130	-0.150	0.470
2020/01/26 00:00:54	262.800	0.170	-0.090	0.920
2020/01/26 00:00:55	262.830	0.180	-0.010	1.230
2020/01/26 00:00:56	262.820	0.150	0.000	1.270
2020/01/26 00:00:57	262.750	0.140	-0.180	1.040
2020/01/26 00:00:58	262.670	0.120	-0.450	0.590
2020/01/26 00:00:59	262.660	0.060	-0.600	0.040
2020/01/26 00:01:00	262.760	-0.050	-0.510	-0.420
2020/01/26 00:01:01	262.920	-0.150	-0.280	-0.620
2020/01/26 00:01:02	263.020	-0.210	-0.060	-0.510
2020/01/26 00:01:03	263.020	-0.210	0.030	-0.140
2020/01/26 00:01:04	262.960	-0.200	0.010	0.310
2020/01/26 00:01:05	262.900	-0.200	0.040	0.660
2020/01/26 00:01:06	262.870	-0.200	0.050	0.830
2020/01/26 00:01:07	262.820	-0.130	-0.090	0.850
2020/01/26 00:01:08	262.780	0.050	-0.330	0.830
2020/01/26 00:01:09	262.780	0.240	-0.490	0.800
2020/01/26 00:01:10	262.770	0.320	-0.490	0.840
2020/01/26 00:01:11	262.690	0.290	-0.350	0.930
2020/01/26 00:01:12	262.580	0.190	-0.170	0.940
2020/01/26 00:01:13	262.550	0.030	0.020	0.730
2020/01/26 00:01:14	262.620	-0.180	0.140	0.290
2020/01/26 00:01:15	262.730	-0.320	0.130	-0.220
2020/01/26 00:01:16	262.850	-0.300	0.030	-0.610
2020/01/26 00:01:17	262.940	-0.110	-0.130	-0.680
2020/01/26 00:01:18	262.920	0.160	-0.330	-0.340
2020/01/26 00:01:19	262.800	0.360	-0.500	0.310
2020/01/26 00:01:20	262.600	0.380	-0.560	1.090
2020/01/26 00:01:21	262.400	0.200	-0.470	1.680
2020/01/26 00:01:22	262.350	-0.070	-0.320	1.830
2020/01/26 00:01:23	262.500	-0.280	-0.220	1.490
2020/01/26 00:01:24	262.730	-0.350	-0.240	0.830
2020/01/26 00:01:25	262.950	-0.340	-0.230	0.130
2020/01/26 00:01:26	263.140	-0.330	-0.050	-0.420
2020/01/26 00:01:27	263.230	-0.290	0.220	-0.680
2020/01/26 00:01:28	263.180	-0.120	0.400	-0.590
2020/01/26 00:01:29	263.010	0.160	0.380	-0.180
2020/01/26 00:01:30	262.870	0.420	0.130	0.500
2020/01/26 00:01:31	262.790	0.550	-0.250	1.310
2020/01/26 00:01:32	262.860	0.550	-0.580	1.980
2020/01/26 00:01:33	263.170	0.430	-0.720	2.240
2020/01/26 00:01:34	263.640	0.270	-0.710	2.030
2020/01/26 00:01:35	264.170	0.060	-0.610	1.540
2020/01/26 00:01:36	264.730	-0.200	-0.460	0.920
2020/01/26 00:01:37	265.330	-0.480	-0.290	0.210
2020/01/26 00:01:38	266.040	-0.650	-0.160	-0.480
2020/01/26 00:01:39	266.810	-0.610	-0.010	-0.950
2020/01/26 00:01:40	267.610	-0.380	0.140	-1.070
2020/01/26 00:01:41	268.420	-0.090	0.250	-0.750
2020/01/26 00:01:42	269.180	0.110	0.270	0.030
2020/01/26 00:01:43	269.870	0.220	0.210	0.950
2020/01/26 00:01:44	270.590	0.290	0.050	1.650
2020/01/26 00:01:45	271.440	0.340	-0.180	1.840
2020/01/26 00:01:46	272.450	0.310	-0.440	1.430
2020/01/26 00:01:47	273.590	0.180	-0.630	0.590
2020/01/26 00:01:48	274.810	0.010	-0.610	-0.460
