Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_60-1	2020/01/27 01:04:34	CTD	CTD	in the water			W2, clean ship	started	12° 20.469' N	056° 51.066' W	4442	1	169.4	98.0	5.9	02	0
M161_60-1	2020/01/27 01:23:38	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 20.471' N	056° 51.065' W	4446	1	143.5	100.0	5.6	02	801
M161_60-1	2020/01/27 01:42:03	CTD	CTD	on deck				started	12° 20.470' N	056° 51.065' W	4443	0	82.6	110.0	5.6	02	0
M161_61-1	2020/01/27 04:48:28	CTD	CTD	in the water			W2, clean ship	started	12° 07.502' N	057° 14.735' W	4471	1	1.3	94.0	6.1	02	0
M161_61-1	2020/01/27 05:06:57	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 07.501' N	057° 14.735' W	4471	0	190.8	104.0	5.7	02	800
M161_61-1	2020/01/27 05:43:44	CTD	CTD	on deck				started	12° 07.502' N	057° 14.735' W	4471	1	16.5	91.0	4.4	02	0
M161_62-1	2020/01/27 07:05:11	CTD	CTD	in the water			W2, clean ship	started	12° 07.502' N	057° 14.735' W	4472	0	290.9	86.0	4.9	02	0
M161_62-1	2020/01/27 07:13:15	CTD	CTD	max depth/on ground			SLmax = 250m	started	12° 07.502' N	057° 14.736' W	4471	0	70.1	65.0	4.7	02	250
M161_62-1	2020/01/27 07:33:35	CTD	CTD	on deck				started	12° 07.501' N	057° 14.735' W	4472	0	61.4	78.0	4.8	02	0
M161_63-1	2020/01/27 09:48:56	CTD	CTD	in the water			W2, clean ship	started	12° 25.111' N	057° 14.739' W	4493	0	186.6	60.0	4.7	02	0
M161_63-1	2020/01/27 10:07:45	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.123' N	057° 14.705' W	4495	1	5.8	58.0	3.8	02	800
M161_63-1	2020/01/27 10:25:24	CTD	CTD	on deck				started	12° 25.125' N	057° 14.704' W	4495	1	189.3	57.0	4.1	02	0
M161_64-1	2020/01/27 13:00:58	CTD	CTD	in the water			W2, clean ship	started	12° 42.750' N	057° 14.736' W	4459	1	3.2	21.0	4.7	02	0
M161_64-1	2020/01/27 13:20:48	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 42.750' N	057° 14.737' W	4459	1	356.1	31.0	3.7	02	801
M161_64-1	2020/01/27 13:40:11	CTD	CTD	on deck				started	12° 42.751' N	057° 14.738' W	4452	2	346.0	43.0	4.3	02	0
M161_65-1	2020/01/27 16:07:44	CTD	CTD	in the water			W2, clean ship	started	13° 00.024' N	057° 14.717' W	4741	0	158.4	44.0	4.6	02	0
M161_65-1	2020/01/27 16:26:38	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 00.024' N	057° 14.717' W	4738	1	167.8	48.0	4.0	02	800
M161_65-1	2020/01/27 16:45:37	CTD	CTD	on deck				started	13° 00.025' N	057° 14.717' W	4740	1	132.0	40.0	4.0	02	0
M161_66-1	2020/01/27 22:27:59	CTD	CTD	in the water			W2, clean ship	started	13° 18.022' N	057° 14.734' W	4953	1	169.7	84.0	6.0	02	0
M161_66-1	2020/01/27 22:45:11	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.024' N	057° 14.734' W	4954	1	309.9	84.0	5.9	02	800
M161_66-1	2020/01/27 23:02:44	CTD	CTD	on deck				started	13° 18.025' N	057° 14.734' W	4953	0	148.8	84.0	5.8	02	0
